"","Date","Meantemp"
"1",2010-01-01,16.6258064516129
"2",2010-02-01,17.5714285714286
"3",2010-03-01,19.8161290322581
"4",2010-04-01,20.7966666666667
"5",2010-05-01,25.4096774193548
"6",2010-06-01,26.96
"7",2010-07-01,29.0838709677419
"8",2010-08-01,28.7677419354839
"9",2010-09-01,27.9033333333333
"10",2010-10-01,24.6290322580645
"11",2010-11-01,20.9733333333333
"12",2010-12-01,17.8258064516129
"13",2011-01-01,13.2129032258065
"14",2011-02-01,15.7857142857143
"15",2011-03-01,17.48
"16",2011-04-01,22.4233333333333
"17",2011-05-01,25.7451612903226
"18",2011-06-01,28.25
"19",2011-07-01,28.5290322580645
"20",2011-08-01,29.2129032258065
"21",2011-09-01,27.7266666666667
"22",2011-10-01,24.5096774193548
"23",2011-11-01,22.8166666666667
"24",2011-12-01,16.6129032258065
"25",2012-01-01,14.7096774193548
"26",2012-02-01,15.4448275862069
"27",2012-03-01,18.7
"28",2012-04-01,23.59
"29",2012-05-01,26.8806451612903
"30",2012-06-01,27.8866666666667
"31",2012-07-01,28.458064516129
"32",2012-08-01,29.1935483870968
"33",2012-09-01,27.5633333333333
"34",2012-10-01,25.0193548387097
"35",2012-11-01,21.7833333333333
"36",2012-12-01,17.4741935483871
"37",2013-01-01,16.3838709677419
"38",2013-02-01,18.5678571428571
"39",2013-03-01,20.0645161290323
"40",2013-04-01,21.33
"41",2013-05-01,25.6032258064516
"42",2013-06-01,28.0766666666667
"43",2013-07-01,27.8870967741935
"44",2013-08-01,28.3903225806452
"45",2013-09-01,27.4833333333333
"46",2013-10-01,25.3862068965517
"47",2013-11-01,21.5966666666667
"48",2013-12-01,16.0129032258065
"49",2014-01-01,16.1322580645161
"50",2014-02-01,15.2035714285714
"51",2014-03-01,18.3741935483871
"52",2014-04-01,22.35
"53",2014-05-01,26.0709677419355
"54",2014-06-01,28.7033333333333
"55",2014-07-01,29.4774193548387
"56",2014-08-01,28.5774193548387
"57",2014-09-01,28.55
"58",2014-10-01,25.7225806451613
"59",2014-11-01,22.1966666666667
"60",2014-12-01,15.8451612903226
"61",2015-01-01,15.9870967741935
"62",2015-02-01,16.9785714285714
"63",2015-03-01,19.2903225806452
"64",2015-04-01,23.04
"65",2015-05-01,27.0548387096774
"66",2015-06-01,29.3
"67",2015-07-01,28.7451612903226
"68",2015-08-01,28.9290322580645
"69",2015-09-01,27.96
"70",2015-10-01,25.5935483870968
"71",2015-11-01,23.5566666666667
"72",2015-12-01,18.0516129032258
"73",2016-01-01,15.6483870967742
"74",2016-02-01,15.1620689655172
"75",2016-03-01,17.0903225806452
"76",2016-04-01,23.19
"77",2016-05-01,26.3645161290323
"78",2016-06-01,28.8933333333333
"79",2016-07-01,29.2870967741936
"80",2016-08-01,27.9451612903226
"81",2016-09-01,27.6
"82",2016-10-01,26.4548387096774
"83",2016-11-01,21.8166666666667
"84",2016-12-01,19.3451612903226
"85",2017-01-01,18.1354838709677
"86",2017-02-01,16.4571428571429
"87",2017-03-01,18.9266666666667
"88",2017-04-01,22.9233333333333
"89",2017-05-01,25.6806451612903
"90",2017-06-01,28.6466666666667
"91",2017-07-01,28.5903225806452
"92",2017-08-01,29.1612903225806
"93",2017-09-01,28.8466666666667
"94",2017-10-01,26.0483870967742
"95",2017-11-01,21.9633333333333
"96",2017-12-01,17.6774193548387
"97",2018-01-01,15.6741935483871
"98",2018-02-01,15.6678571428571
"99",2018-03-01,20.3354838709677
"100",2018-04-01,23.1433333333333
"101",2018-05-01,27.9
"102",2018-06-01,28.2666666666667
"103",2018-07-01,28.7774193548387
"104",2018-08-01,28.2096774193548
"105",2018-09-01,27.7
"106",2018-10-01,24.8709677419355
"107",2018-11-01,22.5166666666667
"108",2018-12-01,18.7290322580645
"109",2019-01-01,17.6387096774194
"110",2019-02-01,19.7178571428571
"111",2019-03-01,20.5935483870968
"112",2019-04-01,24.3
"113",2019-05-01,24.9516129032258
"114",2019-06-01,28.6633333333333
"115",2019-07-01,29.0709677419355
"116",2019-08-01,28.6741935483871
"117",2019-09-01,28.4166666666667
"118",2019-10-01,26.1129032258065
"119",2019-11-01,22.4933333333333
"120",2019-12-01,18.7
"121",2020-01-01,18.1387096774194
"122",2020-02-01,18.051724137931
"123",2020-03-01,20.8516129032258
"124",2020-04-01,21.4733333333333
"125",2020-05-01,27.3322580645161
"126",2020-06-01,29.1966666666667
"127",2020-07-01,29.7838709677419
"128",2020-08-01,28.5774193548387
"129",2020-09-01,27.99
"130",2020-10-01,25.0064516129032
"131",2020-11-01,22.9466666666667
"132",2020-12-01,17.5741935483871
"133",2021-01-01,15.7096774193548
"134",2021-02-01,19.1321428571429
"135",2021-03-01,21.358064516129
"136",2021-04-01,23.4133333333333
"137",2021-05-01,28.5870967741935
"138",2021-06-01,28.2766666666667
"139",2021-07-01,29.2266666666667
"140",2021-08-01,28.2741935483871
"141",2021-09-01,29.1733333333333
"142",2021-10-01,25.2548387096774
"143",2021-11-01,21.7466666666667
"144",2021-12-01,18.3129032258065
"145",2022-01-01,17.3483870967742
"146",2022-02-01,14.6392857142857
"147",2022-03-01,20.8387096774194
"148",2022-04-01,22.9166666666667
"149",2022-05-01,24.3387096774194
"150",2022-06-01,27.9866666666667
"151",2022-07-01,29.5064516129032
"152",2022-08-01,28.2258064516129
